granularity,scope,method,threshold,n_components,n_heads,n_mlps,n_edges,n_paths,F,faithfulness,rel_gap,incompleteness_mean,incompleteness_max,completeness,head_precision,head_recall,head_f1
node,attention,tree,2.0,17,5,12,251,11,0.263607919216156,0.06616467612227982,0.9168198448509937,1.0133047536483428,2.6216673221516165,-0.013304753648342826,1.0,0.19230769230769232,0.3225806451612903
node,attention,random,2.0,17,5,12,260,0,0.29264163970947266,0.07549615027122598,0.9076584001479358,1.1766954415615642,1.557835552880588,-0.17669544156156425,0.2,0.038461538461538464,0.06451612903225806
edge,all,path,0.05,27,20,7,106,116,0.4443155825138092,0.12424434555240628,0.85979844915693,0.5478597099149657,1.3932234676876611,0.4521402900850343,0.85,0.6538461538461539,0.7391304347826086
edge,all,path,0.08469069900482264,20,15,5,64,44,0.17172670364379883,0.03663393830021649,0.9458125010250331,0.5008072042187313,1.6980608249691822,0.49919279578126874,0.9333333333333333,0.5384615384615384,0.6829268292682927
edge,all,path,0.14345028995850928,13,12,1,35,18,0.15340718626976013,0.0307460224598624,0.9515931327373071,0.47145295451905855,0.9827702065918271,0.5285470454809414,1.0,0.46153846153846156,0.631578947368421
edge,all,path,0.24297810658061286,7,6,1,13,5,0.06446481496095657,0.002159832866795146,0.9796584513619737,0.35833451749581596,0.8042661372231726,0.6416654825041841,1.0,0.23076923076923078,0.375
edge,all,path,0.41155971378360795,5,4,1,9,2,0.060270704329013824,0.0008118404540141817,0.9809818819103217,0.38664404242437134,0.6574180266200365,0.6133559575756287,1.0,0.15384615384615385,0.26666666666666666
edge,all,path,0.6971055968511699,4,3,1,6,1,0.0603366494178772,0.0008330352882112036,0.9809610732686872,0.3932364093238238,0.9068349441834365,0.6067635906761761,1.0,0.11538461538461539,0.20689655172413793
edge,all,path,1.1807672055499936,0,0,0,0,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,,,,0.0,0.0,0.0
edge,all,path,2.0,0,0,0,0,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,,,,0.0,0.0,0.0
edge,all,tree,0.05,41,33,8,203,392,0.5486198663711548,0.15776787308871404,0.8268857561704734,0.4873596053859514,1.5761958970876648,0.5126403946140485,0.5454545454545454,0.6923076923076923,0.6101694915254238
edge,all,random,0.05,145,135,10,203,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,1.0073687649738505,1.0617004444260516,-0.007368764973850528,0.18518518518518517,0.9615384615384616,0.3105590062111801
edge,all,tree,0.08469069900482264,29,24,5,113,217,0.20087967813014984,0.04600374083196206,0.9366134263233309,0.5048320036163065,1.3075230715564254,0.49516799638369347,0.7083333333333334,0.6538461538461539,0.68
edge,all,random,0.08469069900482264,118,110,8,113,0,0.05992767959833145,0.0007015918757257528,0.9810901216415214,0.9284314304261894,1.027068406227994,0.07156856957381064,0.15454545454545454,0.6538461538461539,0.25
edge,all,tree,0.14345028995850928,22,17,5,79,147,0.2095736861228943,0.04879800589536313,0.9338700757599125,0.7437185528891346,1.6954923228448007,0.2562814471108654,0.8235294117647058,0.5384615384615384,0.6511627906976745
edge,all,random,0.14345028995850928,98,91,7,79,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,0.9870364788719026,1.0295194303983735,0.0129635211280974,0.24175824175824176,0.8461538461538461,0.37606837606837606
edge,all,tree,0.24297810658061286,17,15,2,46,84,0.12067653238773346,0.02022634928712716,0.9619211262062852,0.7856905919339798,1.5174829999577804,0.21430940806602017,0.9333333333333333,0.5384615384615384,0.6829268292682927
edge,all,random,0.24297810658061286,70,66,4,46,0,0.05992767959833145,0.0007015918757257528,0.9810901216415214,0.9601903159617213,1.0032059778905575,0.03980968403827867,0.16666666666666666,0.4230769230769231,0.2391304347826087
edge,all,tree,0.41155971378360795,13,13,0,27,48,0.10675261169672012,0.015751183728855814,0.9663147494585944,0.6043868682765144,1.4408482218143541,0.39561313172348556,1.0,0.5,0.6666666666666666
edge,all,random,0.41155971378360795,48,44,4,27,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,0.9988782413096983,1.0055585350422747,0.001121758690301733,0.25,0.4230769230769231,0.3142857142857143
edge,all,tree,0.6971055968511699,11,11,0,18,27,0.10734379291534424,0.015941190113335658,0.9661282051937918,0.7447687087916155,1.7482977256726437,0.2552312912083845,1.0,0.4230769230769231,0.5945945945945946
edge,all,random,0.6971055968511699,35,32,3,18,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,0.9971045629484745,1.0002966414722245,0.002895437051525507,0.09375,0.11538461538461539,0.10344827586206896
edge,all,tree,1.1807672055499936,7,7,0,9,16,0.07874400913715363,0.0067491837684006675,0.9751527233454913,1.1330106675054052,2.02304178284384,-0.13301066750540524,1.0,0.2692307692307692,0.42424242424242425
edge,all,random,1.1807672055499936,15,14,1,9,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,1.0036917727815018,1.0218167808139753,-0.0036917727815017898,0.35714285714285715,0.19230769230769232,0.25
edge,all,tree,2.0,5,5,0,7,11,0.08011454343795776,0.007189675210106935,0.9747202581292834,0.8478524286956006,1.7701146429802976,0.15214757130439938,1.0,0.19230769230769232,0.3225806451612903
edge,all,random,2.0,13,12,1,7,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,0.9994922042437671,1.0004787862997424,0.0005077957562329427,0.08333333333333333,0.038461538461538464,0.05263157894736842
edge,attention,path,0.05,32,20,12,719,116,1.5882930755615234,0.49192014534555706,0.4988220959364755,0.36042969570168737,0.7830071653649676,0.6395703042983126,0.85,0.6538461538461539,0.7391304347826086
edge,attention,path,0.08469069900482264,27,15,12,540,44,2.2393229007720947,0.7011619469790689,0.29339290386716954,0.2555834868051094,0.5641804711085063,0.7444165131948906,0.9333333333333333,0.5384615384615384,0.6829268292682927
edge,attention,path,0.14345028995850928,24,12,12,435,18,2.4928581714630127,0.7826485006862651,0.213391122378492,0.2889772526747295,0.7887272179269111,0.7110227473252705,1.0,0.46153846153846156,0.631578947368421
edge,attention,path,0.24297810658061286,18,6,12,266,5,-1.1735717058181763,-0.39574665630537564,1.3703146584469421,0.6554944912504284,1.3781373434211868,0.34450550874957164,1.0,0.23076923076923078,0.375
edge,attention,path,0.41155971378360795,16,4,12,200,2,-0.7858554124832153,-0.2711341537770398,1.247972729079658,0.7589305819180256,1.2128892264215259,0.24106941808197435,1.0,0.15384615384615385,0.26666666666666666
edge,attention,path,0.6971055968511699,15,3,12,174,1,-0.8475767374038696,-0.2909714649500385,1.2674485832124485,0.5710476020578621,1.199672596205097,0.4289523979421379,1.0,0.11538461538461539,0.20689655172413793
edge,attention,path,1.1807672055499936,12,0,12,90,0,0.08041775226593018,0.007287126907370747,0.9746245821062403,,,,0.0,0.0,0.0
edge,attention,path,2.0,12,0,12,90,0,0.08041775226593018,0.007287126907370747,0.9746245821062403,,,,0.0,0.0,0.0
edge,attention,tree,0.05,45,33,12,1188,392,0.1635924130678177,0.03401956711594966,0.9483792355683243,0.7271940002876951,1.5966922859474464,0.2728059997123049,0.5454545454545454,0.6923076923076923,0.6101694915254238
edge,attention,random,0.05,146,134,12,3326,0,0.20170122385025024,0.046267786655888044,0.9363541916969086,0.9339010182852272,0.9680253237057141,0.0660989817147728,0.1791044776119403,0.9230769230769231,0.3
edge,attention,tree,0.08469069900482264,36,24,12,891,217,0.23732443153858185,0.057717130246652676,0.9251134673998856,0.7005796406407361,1.879533931175486,0.2994203593592639,0.7083333333333334,0.6538461538461539,0.68
edge,attention,random,0.08469069900482264,126,114,12,2849,0,0.20247365534305573,0.046516047105615986,0.9361104548182724,0.9574525607180335,0.9821324434705384,0.04254743928196647,0.14912280701754385,0.6538461538461539,0.24285714285714285
edge,attention,tree,0.14345028995850928,29,17,12,670,147,0.5591291189193726,0.16114556002694214,0.8235696143031874,0.8518247973990206,1.7023175886685744,0.14817520260097938,0.8235294117647058,0.5384615384615384,0.6511627906976745
edge,attention,random,0.14345028995850928,104,92,12,2261,0,0.07623351365327835,0.005942307373960593,0.9759448975884752,0.9923628625920747,0.9990400974294751,0.007637137407925265,0.16304347826086957,0.5769230769230769,0.2542372881355932
edge,attention,tree,0.24297810658061286,27,15,12,584,84,0.2947750389575958,0.07618182746295293,0.9069852167284796,0.7388840313236519,1.5153279204234766,0.2611159686763481,0.9333333333333333,0.5384615384615384,0.6829268292682927
edge,attention,random,0.24297810658061286,80,68,12,1593,0,0.12716877460479736,0.022312964071173676,0.9598725317767777,0.9696056365011894,0.9823758859328745,0.03039436349881064,0.16176470588235295,0.4230769230769231,0.23404255319148937
edge,attention,tree,0.41155971378360795,25,13,12,509,48,-0.11772328615188599,-0.056395651132281996,1.037146991774307,0.7184856579758117,1.8421802186047795,0.28151434202418835,1.0,0.5,0.6666666666666666
edge,attention,random,0.41155971378360795,58,46,12,1205,0,0.11159556359052658,0.0173077145362681,0.964786580308351,0.9826405016777743,0.9846368223014924,0.01735949832222572,0.15217391304347827,0.2692307692307692,0.19444444444444445
edge,attention,tree,0.6971055968511699,23,11,12,436,27,0.17587000131607056,0.03796559936408505,0.9445051042509419,0.8616265866189832,2.081244710854988,0.13837341338101683,1.0,0.4230769230769231,0.5945945945945946
edge,attention,random,0.6971055968511699,40,28,12,734,0,0.06475456058979034,0.002252957474984953,0.9795670235838105,0.9355602814190267,0.9981182574382703,0.0644397185809733,0.17857142857142858,0.19230769230769232,0.18518518518518517
edge,attention,tree,1.1807672055499936,19,7,12,307,16,0.5337804555892944,0.15299846786803628,0.8315682577236336,1.216495687540893,2.3770401138422415,-0.216495687540893,1.0,0.2692307692307692,0.42424242424242425
