candidate,parent,depth,isolated,joint,ratio,iso_admits,joint_admits
m3,a8.h6,3,0.0002276897430419922,3.24249267578125e-05,7.022058823529412,False,False
m1,a8.h6,3,0.004896640777587891,0.00159454345703125,3.0708732057416266,False,False
m3,a8.h6,3,0.009222745895385742,0.00677490234375,1.3613105292792793,False,False
m1,a8.h6,3,9.5367431640625e-06,-9.5367431640625e-06,1.0,False,False
m3,a8.h6,3,9.34600830078125e-05,-9.5367431640625e-06,9.8,False,False
m1,a8.h6,3,0.001725912094116211,-4.38690185546875e-05,39.34239130434783,False,False
m3,a8.h6,3,0.0027370452880859375,-2.288818359375e-05,119.58333333333333,False,False
m1,a5.h5,3,1.71661376953125e-05,5.7220458984375e-06,3.0,False,False
m1,a5.h5,3,0.004494905471801758,0.0102081298828125,0.44032604633781763,False,False
m1,a6.h9,3,0.006057024002075195,0.0130767822265625,0.46318917736289383,False,False
m2,a6.h9,3,0.0028684139251708984,0.006755828857421875,0.4245835686053077,False,False
m4,a6.h9,3,0.010805845260620117,0.018798828125,0.5748148336038961,False,False
m1,a6.h9,3,1.5020370483398438e-05,-3.814697265625e-06,3.9375,False,False
m2,a6.h9,3,4.00543212890625e-05,3.814697265625e-05,1.05,False,False
m4,a6.h9,3,-1.0728836059570312e-05,1.71661376953125e-05,0.625,False,False
m1,a8.h6,3,-0.0028815269470214844,-0.002529144287109375,1.1393288084464555,False,False
m3,a8.h6,3,-0.003348827362060547,-0.001232147216796875,2.7178792569659445,False,False
m1,a8.h6,3,-5.364418029785156e-05,0.000156402587890625,0.3429878048780488,False,False
m3,a8.h6,3,-0.00010800361633300781,-0.0002613067626953125,0.41332116788321166,False,False
m1,a8.h6,3,-0.002892732620239258,-0.0044765472412109375,0.6461972731146144,False,False
m3,a8.h6,3,0.0035839080810546875,0.0050258636474609375,0.7130929791271348,False,False
m1,a8.h6,3,5.3882598876953125e-05,8.0108642578125e-05,0.6726190476190477,False,False
m3,a8.h6,3,-5.14984130859375e-05,-0.000217437744140625,0.23684210526315788,False,False
m1,a6.h9,3,0.004772663116455078,0.01322174072265625,0.36097085978072707,False,False
m2,a6.h9,3,0.0047376155853271484,0.012086868286132812,0.39196386302666875,False,False
m4,a6.h9,3,0.00036978721618652344,0.005321502685546875,0.06948924731182796,False,False
m1,a6.h9,3,4.696846008300781e-05,5.14984130859375e-05,0.9120370370370371,False,False
m2,a6.h9,3,1.4066696166992188e-05,2.09808349609375e-05,0.6704545454545454,False,False
m4,a6.h9,3,-3.361701965332031e-05,-3.0517578125e-05,1.1015625,False,False
m1,a8.h6,3,0.0001614093780517578,-0.0051727294921875,0.031203908554572272,False,False
m3,a8.h6,3,0.0017354488372802734,-0.017269134521484375,0.10049425668212944,False,False
m1,a8.h6,3,8.273124694824219e-05,0.000118255615234375,0.6995967741935484,False,False
m3,a8.h6,3,-6.508827209472656e-05,-0.000232696533203125,0.2797131147540984,False,False
m1,a5.h5,3,-1.430511474609375e-06,-3.4332275390625e-05,0.041666666666666664,False,False
m1,a5.h5,3,0.0008075237274169922,-0.004657745361328125,0.17337223587223588,False,False
m1,a6.h9,3,0.0040760040283203125,-0.014240264892578125,0.28623091347441737,False,False
m2,a6.h9,3,0.003940582275390625,-0.014936447143554688,0.26382326650491633,False,False
m4,a6.h9,3,0.003876209259033203,-0.008817672729492188,0.43959550075708415,False,False
m1,a6.h9,3,2.0265579223632812e-05,-6.103515625e-05,0.33203125,False,False
m2,a6.h9,3,5.7220458984375e-06,-2.86102294921875e-05,0.2,False,False
m4,a6.h9,3,-8.821487426757812e-06,4.00543212890625e-05,0.22023809523809523,False,False
m1,a8.h6,3,-0.0004208087921142578,3.814697265625e-06,110.3125,False,False
m3,a8.h6,3,0.0007431507110595703,-9.5367431640625e-06,77.925,False,False
m1,a8.h6,3,0.007626771926879883,-4.1961669921875e-05,181.7556818181818,False,False
m3,a8.h6,3,0.008438587188720703,1.9073486328125e-05,442.425,False,False
m1,a5.h5,3,3.5762786865234375e-06,-1.33514404296875e-05,0.26785714285714285,False,False
m1,a5.h5,3,0.003958463668823242,0.0007915496826171875,5.000903614457831,False,False
m1,a3.h0,3,0.0019142627716064453,0.0008907318115234375,2.149089935760171,False,False
m1,a3.h0,3,0.0010020732879638672,0.015913009643554688,0.06297195253505933,False,False
m1,a5.h5,3,-2.2411346435546875e-05,-8.58306884765625e-05,0.2611111111111111,False,False
m1,a5.h5,3,0.004101991653442383,0.008813858032226562,0.46540251027916035,False,False
m1,a6.h9,3,-0.0007967948913574219,0.01384735107421875,0.057541322314049584,False,False
m2,a6.h9,3,0.005624055862426758,0.013628005981445312,0.41268369489153256,False,False
m4,a6.h9,3,-0.0073413848876953125,0.0064144134521484375,1.144513826940232,False,False
m1,a6.h9,3,-3.0994415283203125e-06,-2.86102294921875e-05,0.10833333333333334,False,False
m2,a6.h9,3,3.170967102050781e-05,-5.7220458984375e-06,5.541666666666667,False,False
m4,a6.h9,3,0.0,9.5367431640625e-06,0.0,False,False
m1,a8.h6,3,0.004208803176879883,-0.003284454345703125,1.281431475029036,False,False
m3,a8.h6,3,0.017464876174926758,-0.0047397613525390625,3.684758551307847,False,False
