granularity,scope,method,threshold,n_components,n_heads,n_mlps,n_edges,n_paths,F,faithfulness,rel_gap,incompleteness_mean,incompleteness_max,completeness,head_precision,head_recall,head_f1
node,attention,tree,20.0,36,24,12,714,117,2.3607215881347656,0.740179637223126,0.25508615769755827,0.2291425725490901,0.6878408799415084,0.7708574274509099,0.75,0.6923076923076923,0.72
node,attention,random,20.0,42,30,12,2141,0,-0.3301488757133484,-0.12466950180959128,1.1041768198230337,0.9976518702721838,1.140209493898274,0.002348129727816173,0.1,0.11538461538461539,0.10714285714285714
node,attention,tree,40.0,45,33,12,969,250,2.0089802742004395,0.627129538154697,0.36607636297049395,0.23872365328673656,0.668216958675296,0.7612763467132635,0.6060606060606061,0.7692307692307693,0.6779661016949152
node,attention,random,40.0,50,38,12,3109,0,-1.6401103734970093,-0.5456927687207983,1.5175285922161885,1.3458331761760285,1.6717092883304128,-0.3458331761760285,0.15789473684210525,0.23076923076923078,0.1875
node,attention,tree,80.0,72,60,12,1749,618,2.1564135551452637,0.6745147794002218,0.3195545315339295,0.17273760081426093,0.6522021218411684,0.8272623991857391,0.4,0.9230769230769231,0.5581395348837209
node,attention,random,80.0,78,66,12,7806,0,-0.10003188252449036,-0.05070961183719349,1.0315645582005881,1.2151294879489696,1.9353132367208885,-0.21512948794896958,0.12121212121212122,0.3076923076923077,0.17391304347826086
edge,all,path,5.0,12,11,1,42,25,0.06430014222860336,0.0021069068442640675,0.9797104130157308,0.32652915921519937,1.106900579922608,0.6734708407848007,0.9090909090909091,0.38461538461538464,0.5405405405405406
edge,all,path,10.0,17,15,2,68,58,0.07241936028003693,0.0047164337002538045,0.977148434531871,0.5598482274824337,1.887014450468416,0.4401517725175663,0.8666666666666667,0.5,0.6341463414634146
edge,all,path,20.0,22,20,2,95,137,0.1150992289185524,0.01843379696316747,0.9636810163084455,0.5883606218879007,1.858101708130505,0.4116393781120993,0.85,0.6538461538461539,0.7391304347826086
edge,all,path,40.0,39,35,4,166,292,0.11957916617393494,0.019873654410893678,0.9622673946044065,0.6271748744103105,1.665611734962121,0.3728251255896895,0.5428571428571428,0.7307692307692307,0.6229508196721312
edge,all,path,80.0,68,60,8,353,776,0.11363021284341812,0.017961653355783175,0.9641445569539974,0.35770011595042217,1.1961008823054353,0.6422998840495778,0.4,0.9230769230769231,0.5581395348837209
edge,all,tree,5.0,13,11,2,26,22,0.0686202123761177,0.0034953828031906485,0.9783472365747751,0.4881922225724735,1.365621052691117,0.5118077774275265,0.8181818181818182,0.34615384615384615,0.4864864864864865
edge,all,random,5.0,43,39,4,26,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,1.0050231848042728,1.0139965838314229,-0.005023184804272773,0.20512820512820512,0.3076923076923077,0.24615384615384617
edge,all,tree,10.0,19,13,6,37,52,0.07942824810743332,0.006969099030874048,0.9749368151744617,0.6201867262498133,2.3776990957439867,0.3798132737501867,0.8461538461538461,0.4230769230769231,0.5641025641025641
edge,all,random,10.0,63,61,2,37,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,0.9994298711726923,1.0010651439859723,0.0005701288273076699,0.13114754098360656,0.3076923076923077,0.1839080459770115
edge,all,tree,20.0,30,24,6,87,117,0.1126311868429184,0.017640565147334857,0.9644597945916471,0.51151912179335,1.0025939569981264,0.48848087820665,0.75,0.6923076923076923,0.72
edge,all,random,20.0,103,96,7,87,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,1.014054104662208,1.0527338154853596,-0.014054104662208022,0.19791666666666666,0.7307692307692307,0.3114754098360656
