model,modality,pos,strategy,hyperparam,faith_all,faith_attn,%nodes,%heads,%mlps,comps,heads,mlps,paths,time_s,TO,peak_mb,search_mb
gpt2-small,pmp,nopos,Threshold,min_contribution=0.02,0.9259908117826382,0.9259908117826382,44.23076923076923,39.583333333333336,100.0,69,57,12,1601.0,787.7202212810516,False,832.130859375,6.24609375
gpt2-small,pmp_batched,nopos,BestFirstSearch,top_n=100,0.3122369594456483,0.5388854784758353,17.307692307692307,14.583333333333334,50.0,27,21,6,100.0,19.092114448547363,False,830.392578125,4.5078125
gpt2-small,pmp_batched,nopos,BestFirstSearch,top_n=1000,1.041661644232763,1.041661644232763,39.1025641025641,34.02777777777778,100.0,61,49,12,1000.0,116.54427146911621,False,830.83203125,4.947265625
gpt2-small,pmp_batched,nopos,LimitedLevelWidth,max_width=100,0.4053927208940431,0.3905419936593177,48.717948717948715,45.833333333333336,83.33333333333333,76,66,10,963.0,23.039201259613037,False,830.8134765625,4.9287109375
gpt2-small,pmp_batched,nopos,LimitedLevelWidth,max_width=1000,1.020111168319808,1.020111168319808,99.35897435897436,99.30555555555556,100.0,155,143,12,12132.0,278.5483317375183,False,836.26708984375,10.38232421875
gpt2-small,pmp_batched,nopos,Threshold,min_contribution=0.5,-0.10950615798359789,-0.3870848598654607,3.2051282051282053,2.7777777777777777,8.333333333333334,5,4,1,2.0,0.634171724319458,False,830.34033203125,4.45556640625
gpt2-small,pmp_batched,nopos,Threshold,min_contribution=0.1,0.10489143197168778,0.28076319562628094,15.384615384615385,12.5,50.0,24,18,6,66.0,13.026294946670532,False,830.4375,4.552734375
gpt2-small,pmp_batched,nopos,Threshold,min_contribution=0.02,0.9960685237037228,0.9960685237037228,42.30769230769231,37.5,100.0,66,54,12,1379.0,148.68749284744263,False,831.86279296875,5.97802734375
gpt2-small,pap,pos,BestFirstSearch,top_n=100,0.019004564426302106,0.26062898440713106,18.58974358974359,15.277777777777779,58.333333333333336,29,22,7,100.0,7.6769702434539795,False,1999.7275390625,93.8427734375
gpt2-small,pap,pos,BestFirstSearch,top_n=1000,0.7554118541060926,0.7957282534641639,37.82051282051282,34.02777777777778,83.33333333333333,59,49,10,1000.0,40.27692461013794,False,2019.107421875,113.22265625
gpt2-small,pap,pos,LimitedLevelWidth,max_width=100,0.41218332560714444,0.4516372915265113,40.38461538461539,36.111111111111114,91.66666666666667,63,52,11,1201.0,13.050981760025024,False,1999.75732421875,1241.37255859375
gpt2-small,pap,pos,LimitedLevelWidth,max_width=1000,1.0009157959424435,1.0009157959424435,98.71794871794872,98.61111111111111,100.0,154,142,12,13001.0,105.42857694625854,False,2031.0869140625,125.2021484375
gpt2-small,pap,pos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,0.981320858001709,False,1996.48681640625,90.60205078125
